Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Finland,12.122,11.478,10.852,10.038,9.81,9.919,10.994,9.211,9.099,9.331,9.699,10.455,11.112,10.624,10.495,9.921,9.133,8.735,8.491,8.32,8.295,7.806,7.648,7.475,7.254,6.282,5.504,4.856,4.328,4.092,4.092,4.159
Fiji,67.831,62.234,58.734,56.339,53.963,52.744,50.011,46.169,43.366,45.118,43.367,42.438,40.954,42.979,44.085,42.541,42.327,41.574,40.989,41.156,40.87,40.618,41.139,41.737,36.262,30.936,28.788,28.059,27.474,27.206,27.103,26.843
France,12.71,12.922,12.311,11.157,10.02,9.467,9.328,9.257,9.981,10.893,11.913,12.174,11.451,11.034,11.054,10.938,10.966,10.851,10.953,10.784,10.668,10.331,10.038,9.397,9.074,8.273,7.582,7.288,8.166,9.662,9.407,9.529
Gabon,168.644,165.554,162.222,159.377,149.636,145.126,144.826,142.873,140.965,137.004,133.846,129.342,126.291,123.662,121.387,119.067,117.008,115.46,113.271,111.603,111.716,111.741,109.049,107.518,105.57,103.618,101.366,99.037,97.637,94.797,92.632,91.176
United Kingdom,34.556,34.432,32.916,31.115,28.795,27.683,28.801,29.634,30.668,30.752,29.058,27.635,26.677,26.597,26.48,26.313,26.256,26.1,25.985,25.106,23.861,21.739,20.225,17.817,15.983,14.857,14.162,13.141,12.338,11.342,10.645,10.541
Georgia,61.975,63.764,65.134,75.208,84.319,79.81,71.712,64.727,60.133,53.7,45.439,38.631,39.468,40.818,42.033,48.087,46.049,46.148,51.144,57.28,56.836,54.241,51.057,50.671,51.365,49.524,45.119,38.814,34.66,30.968,29.077,31.654
Ghana,107.522,106.435,103.394,97.043,93.965,92.57,86.74,86.591,84.643,81.969,83.564,81.553,79.362,77.212,77.572,77.287,74.267,74.628,71.688,69.092,68.709,68.766,68.453,68.992,69.031,69.999,68.045,65.897,67.225,66.576,65.152,64.176
Guinea,157.784,162.369,164.793,167.793,162.901,157.848,166.65,165.377,159.451,161.96,158.157,153.812,152.832,148.024,143.785,141.821,143.044,144.163,146.023,145.831,146.808,143.749,140.306,138.189,135.467,132.184,127.879,125.259,122.086,120.255,117.138,114.829
Gambia,153.717,151.884,153.234,154.799,150.478,144.911,136.727,130.645,128.31,124.142,119.552,116.217,109.466,103.441,102.605,100.911,103.114,102.585,100.276,100.018,94.637,93.041,91.597,88.107,82.721,78.309,74.03,69.575,67.16,65.844,63.944,63.188
Guinea-Bissau,117.622,118.856,120.452,121.784,122.872,122.041,121.994,124.938,126.318,127.687,128.41,128.518,128.466,126.872,123.773,121.235,119.548,118.979,117.226,113.413,111.733,111.7,109.519,108.186,105.516,102.21,98.079,94.639,93.021,91.379,88.923,87.537
Equatorial Guinea,184.778,185.112,185.353,185.011,184.866,184.046,183.812,182.663,181.452,180.357,178.464,177.675,176.326,176.117,177.202,177.692,175.803,175.232,174.103,173.074,171.755,170.478,168.734,167.097,163.445,161.13,158.434,156.047,152.601,148.872,143.936,139.706
Greece,21.21,19.097,17.749,15.886,14.552,13.435,12.548,12.177,11.934,11.506,9.877,11.557,11.392,11.208,10.889,10.287,10.742,10.661,11.184,10.908,10.453,9.469,8.505,8.035,7.903,8.094,8.507,8.368,8.245,8.309,8.421,8.479
Grenada,85.629,87.036,83.331,79.916,75.849,71.044,67.291,63.858,50.743,46.118,45.566,44.442,43.44,42.914,41.809,41.411,41.315,41.016,40.566,40.12,39.433,38.699,37.726,36.587,35.112,34.957,34.597,34.69,34.553,34.096,33.472,32.72
Guatemala,111.983,111.298,111.619,109.625,109.707,111.94,111.562,110.39,112.566,107.407,109.177,110.434,106.66,99.616,96.107,93.434,90.832,91.574,90.46,89.986,89.008,90.535,90.895,83.341,81.595,80.387,77.794,78.608,76.279,71.729,66.848,64.054
Guyana,125.757,112.351,109.687,110.129,108.537,109.662,107.87,106.798,107.852,105.22,102.276,98.17,96.687,95.236,91.83,91.116,89.608,87.54,84.919,82.172,80.478,78.026,75.301,74.269,73.888,73.404,71.979,70.484,69.664,68.995,67.801,66.556
Hong Kong,6.607,7.22,7.528,7.605,7.314,6.383,6.018,5.88,5.366,5.198,5.113,4.443,4.276,4.073,3.997,3.516,3.267,3.305,3.341,3.302,3.503,3.262,3.116,3.613,3.482,3.643,3.554,3.204,2.592,2.396,1.837,1.584
Honduras,127.428,128.341,129.773,131.099,128.663,127.981,128.792,128.075,128.282,125.774,123.567,120.47,116.121,111.749,108.406,104.158,101.141,97.358,94.706,91.994,89.482,86.963,84.451,81.681,79.562,77.993,76.868,75.341,74.666,73.802,72.874,71.972
Croatia,27.073,24.824,21.962,20.665,20.124,19.881,21.056,20.566,17.298,16.538,16.181,16.694,16.177,15.281,14.826,15.164,14.603,14.452,14.578,13.726,12.58,11.725,11.138,10.432,10.218,9.784,9.885,9.557,9.041,9.062,8.895,8.637
Haiti,83.78,80.167,80.19,77.333,76.385,74.355,75.421,76.016,76.333,76.999,76.165,72.865,70.754,68.179,66.984,66.881,67.325,65.525,64.373,63.865,62.688,60.962,61.256,59.297,57.571,56.276,55.897,55.628,54.556,54.241,53.643,52.545
Hungary,38.126,36.045,34.814,34.68,35.096,33.253,30.799,28.644,26.884,24.439,24.049,22.442,21.809,21.114,21.365,20.392,19.967,19.76,20.376,20.017,18.6,18.444,20.211,22.217,24.276,23.966,25.509,23.913,22.762,21.994,22.286,22.148
Indonesia,74.708,72.104,68.659,65.69,64.338,63.742,61.394,59.55,57.393,55.509,54.557,54.091,52.425,51.032,48.246,47.849,47.363,47.631,47.016,45.899,45.847,45.537,44.762,43.219,40.797,38.928,36.615,36.012,35.293,34.867,34.485,33.929
